国家代码,时间,大类项目代码,是否为东道国,某年整个奥林匹克参与人次,某年整个大类参与人次,某年某国某大类参与人次,该大类项目的细分项目event数量,该国该项目运动员金牌获奖频率,该国该项目运动员银牌获奖频率,该国该项目运动员铜牌获奖频率,明星运动员个数,新星运动员个数,平均运动生涯时间,实际当年其国某项目金牌数量,实际当年其国某项目银牌数量,实际当年其国某项目铜牌数量
HUN,1924,CTR,0,5025,116,4,2,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1924,0,0,5025,250,2,1,0.0,0.0,0.0,0,0,0.0,0,2,0
HUN,1924,SHO,0,5025,498,31,10,0.03125,0.0,0.0,21,0,0.0,1,0,0
HUN,1924,ROW,0,5025,191,7,2,0.0,0.0,0.0625,0,0,0.0,0,0,0
HUN,1924,BOX,0,5025,160,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
HUN,1924,CRD,0,5025,131,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
IND,1924,TEN,0,5025,228,10,4,0.0,0.0,0.0,0,0,0.0,0,0,0
IND,1924,ATH,0,5025,989,13,9,0.0,0.6666666666666666,0.0,0,0,0.0,0,0,0
IRL,1924,WPO,0,5025,92,5,1,0.0,0.0,0.0,0,0,0.0,0,0,0
IRL,1924,ATH,0,5025,989,13,12,0.0,0.0,0.0,0,0,0.0,0,0,0
IRL,1924,TEN,0,5025,228,11,5,0.0,0.0,0.0,0,0,0.0,0,0,0
IRL,1924,BOX,0,5025,160,6,6,0.0,0.0,0.0,0,0,0.0,0,0,0
IRL,1924,FBL,0,5025,244,9,1,0.0,0.0,0.0,0,0,0.0,0,0,0
IRL,1924,0,0,5025,250,9,3,0.0,0.0,0.0,0,0,0.0,0,1,1
IRL,1924,VBV,0,5025,21,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,ATH,0,5025,989,53,22,0.025974025974025976,0.012987012987012988,0.03896103896103896,48,29,4.0,1,1,0
ITA,1924,FBL,0,5025,244,12,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,EJP,0,5025,86,8,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,10,10,0.0,0,1,0
ITA,1924,EVE,0,5025,84,8,2,0.0,0.5,0.16666666666666666,6,6,0.0,0,0,4
ITA,1924,WPO,0,5025,92,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,FEN,0,5025,416,28,5,0.35365853658536583,0.10975609756097561,0.012195121951219513,47,34,0.0,8,0,6
ITA,1924,SWM,0,5025,260,7,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,ROW,0,5025,191,17,3,0.7,0.16666666666666666,0.5666666666666667,6,6,0.0,0,3,9
ITA,1924,SHO,0,5025,498,24,6,0.0,0.022222222222222223,0.0,0,0,0.0,0,0,0
ITA,1924,VBV,0,5025,21,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,BOX,0,5025,160,14,7,0.0,0.0,0.2,5,0,0.0,0,0,0
ITA,1924,TEN,0,5025,228,11,5,0.0,0.0,0.0,0,0,0.0,0,0,1
ITA,1924,WRF,0,5025,98,5,5,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,WLF,0,5025,106,15,5,0.14285714285714285,0.2857142857142857,0.0,5,5,0.0,3,0,0
ITA,1924,CTR,0,5025,116,9,3,0.27586206896551724,0.0,0.0,10,10,0.0,4,0,0
ITA,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,GAR,0,5025,635,72,9,0.64,0.02666666666666667,0.13333333333333333,40,23,0.0,9,0,1
ITA,1924,DIV,0,5025,90,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,0,0,5025,250,8,2,0.5,0.16666666666666666,0.0,6,2,0.0,0,0,0
ITA,1924,WRG,0,5025,145,12,6,0.07142857142857142,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,MPN,0,5025,37,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
JPN,1924,TEN,0,5025,228,8,2,0.0,1.0,0.0,3,3,0.0,0,0,0
JPN,1924,SWM,0,5025,260,13,6,0.0,0.0,0.0,0,0,4.0,0,0,0
JPN,1924,ATH,0,5025,989,13,11,0.0,0.0,0.0,0,0,4.0,0,0,0
JPN,1924,WRG,0,5025,145,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
JPN,1924,WRF,0,5025,98,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
LAT,1924,CTR,0,5025,116,6,2,0.0,0.0,0.0,0,0,0.0,0,0,0
LAT,1924,FBL,0,5025,244,10,1,0.0,0.0,0.0,0,0,0.0,0,0,0
LAT,1924,WRG,0,5025,145,6,6,0.0,0.0,0.0,0,0,0.0,0,0,0
LAT,1924,ATH,0,5025,989,19,9,0.0,0.0,0.0,0,0,0.0,0,0,0
LAT,1924,BOX,0,5025,160,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
LAT,1924,WLF,0,5025,106,4,4,0.0,0.0,0.0,0,0,0.0,0,0,0
LTU,1924,CRD,0,5025,131,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
LTU,1924,FBL,0,5025,244,5,1,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,WLF,0,5025,106,4,4,0.0,0.3333333333333333,0.0,3,0,0.0,0,0,0
LUX,1924,FBL,0,5025,244,6,1,0.0,0.0,0.0,0,0,4.0,0,0,0
LUX,1924,SWM,0,5025,260,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,WRG,0,5025,145,2,2,0.0,0.0,0.0,0,0,4.0,0,0,0
LUX,1924,GAR,0,5025,635,69,9,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,BOX,0,5025,160,6,4,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,CTR,0,5025,116,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,ATH,0,5025,989,7,5,0.0625,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,0,0,5025,250,4,3,0.0,0.0,0.0,0,0,0.0,1,1,0
LUX,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
LUX,1924,TEN,0,5025,228,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ITA,1924,SAL,0,5025,57,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
MEX,1924,ATH,0,5025,989,21,11,0.0,0.0,0.0,0,0,4.0,0,0,0
MEX,1924,TEN,0,5025,228,4,2,0.0,0.0,0.0,0,0,0.0,0,0,0
MEX,1924,SHO,0,5025,498,3,2,0.0,0.0,0.0,0,0,0.0,0,0,0
MON,1924,SHO,0,5025,498,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
MON,1924,SAL,0,5025,57,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
MON,1924,ATH,0,5025,989,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
MON,1924,0,0,5025,250,1,1,0.0,0.0,0.0,0,0,0.0,0,0,1
NED,1924,FEN,0,5025,416,29,7,0.0,0.014285714285714285,0.34285714285714286,39,26,4.0,0,0,6
NED,1924,BOX,0,5025,160,8,7,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,DIV,0,5025,90,8,4,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,SWM,0,5025,260,18,9,0.0,0.0,0.06666666666666667,0,0,0.0,0,0,0
NED,1924,ROW,0,5025,191,16,4,0.10714285714285714,0.17857142857142858,0.4642857142857143,0,0,0.0,2,0,0
NED,1924,WPO,0,5025,92,6,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,ATH,0,5025,989,35,18,0.0,0.0,0.0,0,0,0.0,0,0,4
NED,1924,CTR,0,5025,116,10,4,0.04,0.0,0.12,10,10,0.0,1,1,2
NED,1924,TEN,0,5025,228,11,4,0.0,0.0,0.0,0,0,0.0,0,0,2
NED,1924,SHO,0,5025,498,12,3,0.0,0.0,0.0625,0,0,0.0,0,0,0
NED,1924,FBL,0,5025,244,17,1,0.0,0.0,1.1666666666666667,24,14,0.0,0,0,0
NED,1924,0,0,5025,250,30,2,0.0,0.0,0.0,0,0,0.0,0,0,1
NED,1924,WRG,0,5025,145,7,5,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,EVE,0,5025,84,8,2,0.0,0.0,0.0,0,0,0.0,5,0,0
NED,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,SAL,0,5025,57,3,2,0.42857142857142855,0.35714285714285715,0.0,7,7,0.0,0,0,3
NED,1924,MPN,0,5025,37,3,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,WLF,0,5025,106,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,VBV,0,5025,21,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NED,1924,EDR,0,5025,23,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NZL,1924,SWM,0,5025,260,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
NZL,1924,ATH,0,5025,989,2,2,0.0,0.0,0.0,0,0,0.0,0,0,1
NZL,1924,BOX,0,5025,160,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NOR,1924,ATH,0,5025,989,12,8,0.031746031746031744,0.015873015873015872,0.047619047619047616,36,0,0.0,0,0,1
NOR,1924,FEN,0,5025,416,12,4,0.0,0.0,0.0,0,0,0.0,0,0,0
NOR,1924,SHO,0,5025,498,38,10,0.1834862385321101,0.24770642201834864,0.11009174311926606,74,41,0.0,5,4,1
NOR,1924,TEN,0,5025,228,9,4,0.0,0.0,0.058823529411764705,12,0,12.0,0,0,0
NOR,1924,BOX,0,5025,160,9,6,0.0,0.09090909090909091,0.0,11,0,0.0,1,0,1
NOR,1924,WRG,0,5025,145,7,4,0.0,0.0,0.06666666666666667,6,0,0.0,0,0,0
NOR,1924,MPN,0,5025,37,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
NOR,1924,0,0,5025,250,4,2,0.0,1.0,0.0,1,0,0.0,0,0,0
NOR,1924,SWM,0,5025,260,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
PHI,1924,ATH,0,5025,989,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,ATH,0,5025,989,24,13,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,FEN,0,5025,416,6,3,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,FBL,0,5025,244,10,1,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,SHO,0,5025,498,12,3,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,ROW,0,5025,191,6,2,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,EVE,0,5025,84,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,EJP,0,5025,86,8,2,0.0,0.0,0.0,0,0,0.0,0,0,1
POL,1924,BOX,0,5025,160,5,4,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,SAL,0,5025,57,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
POL,1924,CTR,0,5025,116,8,3,0.0,0.0,0.0,0,0,0.0,0,4,0
POL,1924,WRG,0,5025,145,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
POR,1924,SHO,0,5025,498,16,4,0.0,0.0,0.0,0,0,4.0,0,0,0
POR,1924,FEN,0,5025,416,12,3,0.0,0.0,0.0,0,0,4.0,0,0,0
POR,1924,EJP,0,5025,86,8,2,0.0,0.0,0.0,0,0,0.0,0,0,4
POR,1924,ATH,0,5025,989,4,3,0.0,0.0,0.0,0,0,0.0,0,0,0
POR,1924,SAL,0,5025,57,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
POR,1924,SWM,0,5025,260,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
POR,1924,WLF,0,5025,106,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
POR,1924,TEN,0,5025,228,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ROU,1924,RUG,0,5025,47,10,1,0.0,0.0,0.0,0,0,0.0,0,0,16
ROU,1924,FBL,0,5025,244,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ROU,1924,SHO,0,5025,498,13,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ROU,1924,TEN,0,5025,228,5,2,0.0,0.0,0.0,0,0,0.0,0,0,0
RUS,1924,0,0,5025,250,3,2,0.0,0.0,0.0,0,0,0.0,0,0,0
RSA,1924,ATH,0,5025,989,20,13,0.1,0.2,0.03333333333333333,20,12,0.0,0,1,1
RSA,1924,BOX,0,5025,160,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
RSA,1924,SHO,0,5025,498,9,2,0.0,0.13157894736842105,0.0,18,18,0.0,0,0,0
RSA,1924,TEN,0,5025,228,5,2,0.26666666666666666,0.06666666666666667,0.06666666666666667,12,8,0.0,0,0,0
RSA,1924,0,0,5025,250,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
RSA,1924,CRD,0,5025,131,1,1,0.3333333333333333,0.3333333333333333,0.0,3,0,0.0,0,0,0
RSA,1924,CTR,0,5025,116,1,1,0.0,0.1111111111111111,0.2222222222222222,10,10,0.0,0,0,0
RSA,1924,SAL,0,5025,57,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
RSA,1924,VBV,0,5025,21,1,1,1.0,0.0,0.0,1,0,0.0,1,0,0
ESP,1924,TEN,0,5025,228,12,5,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,EJP,0,5025,86,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,ATH,0,5025,989,31,9,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,ROW,0,5025,191,14,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,WPO,0,5025,92,6,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,BOX,0,5025,160,5,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,SWM,0,5025,260,7,4,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,FBL,0,5025,244,11,1,0.0,1.125,0.0,16,16,0.0,0,0,0
ESP,1924,0,0,5025,250,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,POL,0,5025,21,5,1,0.0,1.0,0.0,5,5,0.0,0,0,0
ESP,1924,FEN,0,5025,416,28,6,0.0,0.0,0.0,0,0,4.0,0,0,0
ESP,1924,SHO,0,5025,498,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,DIV,0,5025,90,5,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,VBV,0,5025,21,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ESP,1924,WRG,0,5025,145,4,3,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1924,DIV,0,5025,90,14,5,0.07246376811594203,0.07246376811594203,0.07246376811594203,49,12,0.0,0,1,1
SWE,1924,FBL,0,5025,244,14,1,0.0,0.0,0.0,0,0,0.0,0,0,18
SWE,1924,WPO,0,5025,92,5,1,0.0,0.2916666666666667,0.7083333333333334,17,10,0.0,0,0,0
SWE,1924,SHO,0,5025,498,40,10,0.12857142857142856,0.19523809523809524,0.12857142857142856,154,51,0.0,0,5,5
SWE,1924,VBV,0,5025,21,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1924,EDR,0,5025,23,4,1,0.2,0.2,0.2,10,4,0.0,1,1,0
SWE,1924,MPN,0,5025,37,4,1,0.13333333333333333,0.13333333333333333,0.13333333333333333,15,4,0.0,1,1,1
SWE,1924,SWM,0,5025,260,29,10,0.030303030303030304,0.045454545454545456,0.09090909090909091,43,19,0.0,0,2,10
SWE,1924,BOX,0,5025,160,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
SWE,1924,ATH,0,5025,989,56,19,0.06872852233676977,0.06529209621993128,0.12714776632302405,203,73,4.0,0,6,2
SWE,1924,CRD,0,5025,131,8,2,0.5416666666666666,0.16666666666666666,0.0,23,4,0.0,0,0,4
SWE,1924,WRG,0,5025,145,10,6,0.08,0.06,0.04,42,10,0.0,1,1,1
SWE,1924,WLF,0,5025,106,5,5,0.0,0.0,0.3333333333333333,5,5,0.0,0,0,0
SWE,1924,FEN,0,5025,416,12,3,0.0,0.0,0.0,0,0,0.0,0,0,1
SWE,1924,TEN,0,5025,228,12,5,0.0,0.0784313725490196,0.09803921568627451,36,0,0.0,0,0,0
SWE,1924,EVE,0,5025,84,8,2,0.9,0.1,0.0,10,6,0.0,0,4,0
SWE,1924,WRF,0,5025,98,8,5,0.14285714285714285,0.14285714285714285,0.14285714285714285,5,5,0.0,0,1,0
SWE,1924,EJP,0,5025,86,8,2,0.4444444444444444,0.0,0.05555555555555555,18,9,0.0,4,0,0
SUI,1924,FBL,0,5025,244,14,1,0.0,0.0,0.0,0,0,0.0,0,15,0
SUI,1924,TEN,0,5025,228,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,WLF,0,5025,106,9,5,0.0,0.5,0.5,2,2,0.0,0,1,1
SUI,1924,FEN,0,5025,416,23,5,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,ROW,0,5025,191,16,5,0.38461538461538464,0.0,0.23076923076923078,13,13,0.0,9,0,7
SUI,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,WRF,0,5025,98,10,5,0.2,0.2,0.2,4,4,0.0,2,1,2
SUI,1924,WPO,0,5025,92,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,DIV,0,5025,90,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,ATH,0,5025,989,26,15,0.0,0.0,0.0,0,0,0.0,0,2,0
SUI,1924,EJP,0,5025,86,8,2,0.0,0.0,0.0,0,0,0.0,1,4,0
SUI,1924,EVE,0,5025,84,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,0,0,5025,250,15,4,0.5,0.0,0.0,4,0,0.0,0,0,0
SUI,1924,BOX,0,5025,160,6,4,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,WRG,0,5025,145,2,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,GAR,0,5025,635,72,9,0.18181818181818182,0.18181818181818182,0.09090909090909091,0,0,0.0,2,2,10
SUI,1924,SHO,0,5025,498,13,3,0.3181818181818182,0.06060606060606061,0.2878787878787879,29,29,0.0,0,0,1
SUI,1924,SWM,0,5025,260,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,SAL,0,5025,57,1,1,1.0,1.0,0.0,0,0,0.0,0,0,0
SUI,1924,CTR,0,5025,116,5,2,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,EDR,0,5025,23,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
SUI,1924,VBV,0,5025,21,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
TUR,1924,WRG,0,5025,145,5,4,0.0,0.0,0.0,0,0,0.0,0,0,0
TUR,1924,FEN,0,5025,416,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
TUR,1924,FBL,0,5025,244,9,1,0.0,0.0,0.0,0,0,0.0,0,0,0
TUR,1924,ATH,0,5025,989,5,4,0.0,0.0,0.0,0,0,0.0,0,0,0
TUR,1924,WLF,0,5025,106,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1924,FEN,0,5025,416,35,7,0.0273972602739726,0.0958904109589041,0.1232876712328767,32,32,0.0,0,0,0
USA,1924,ATH,0,5025,989,112,27,0.187207488299532,0.14040561622464898,0.10452418096723869,253,105,4.0,18,15,15
USA,1924,WPO,0,5025,92,9,1,0.28,0.28,0.28,0,0,0.0,0,0,9
USA,1924,SHO,0,5025,498,42,10,0.39303482587064675,0.08955223880597014,0.09950248756218906,171,94,0.0,14,2,5
USA,1924,MPN,0,5025,37,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1924,EJP,0,5025,86,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
USA,1924,EVE,0,5025,84,8,2,0.0,0.0,0.2857142857142857,7,0,0.0,0,0,1
USA,1924,SWM,0,5025,260,34,11,0.24,0.15,0.15,46,33,0.0,16,5,5
USA,1924,DIV,0,5025,90,15,5,0.14285714285714285,0.08571428571428572,0.17142857142857143,17,17,0.0,4,4,3
USA,1924,0,0,5025,250,2,1,0.42857142857142855,0.14285714285714285,0.14285714285714285,1,0,0.0,0,0,0
USA,1924,POL,0,5025,21,4,1,0.2857142857142857,0.14285714285714285,0.7142857142857143,4,4,0.0,0,4,0
USA,1924,CRD,0,5025,131,8,2,0.0,0.0,0.5,13,0,0.0,0,0,0
USA,1924,BOX,0,5025,160,14,7,0.2647058823529412,0.17647058823529413,0.14705882352941177,14,14,0.0,2,1,2
USA,1924,FBL,0,5025,244,13,1,0.0,0.7857142857142857,0.8571428571428571,0,0,0.0,0,0,0
USA,1924,ROW,0,5025,191,20,5,0.78,0.28,0.18,16,16,0.0,11,1,8
USA,1924,RUG,0,5025,47,18,1,1.0,0.0,0.0,16,16,0.0,19,0,0
USA,1924,CTR,0,5025,116,3,2,0.11290322580645161,0.11290322580645161,0.12903225806451613,0,0,0.0,0,0,0
USA,1924,WRF,0,5025,98,14,7,0.14285714285714285,0.14285714285714285,0.16071428571428573,10,10,0.0,4,1,1
USA,1924,TEN,0,5025,228,19,5,0.05,0.06666666666666667,0.13333333333333333,0,0,0.0,8,2,0
USA,1924,GAR,0,5025,635,72,9,0.04776119402985075,0.03880597014925373,0.04477611940298507,0,0,0.0,1,0,0
USA,1924,VBV,0,5025,21,2,1,0.25,0.25,0.0,0,0,0.0,0,1,0
URU,1924,FBL,0,5025,244,13,1,0.0,0.0,0.0,0,0,4.0,14,0,0
URU,1924,FEN,0,5025,416,20,5,0.0,0.0,0.0,0,0,0.0,0,0,0
URU,1924,BOX,0,5025,160,4,3,0.0,0.0,0.0,0,0,0.0,0,0,0
URU,1924,0,0,5025,250,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
URU,1924,VBV,0,5025,21,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,SWM,0,5025,260,9,5,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,FBL,0,5025,244,11,1,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,0,0,5025,250,4,1,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,GAR,0,5025,635,72,9,0.0,0.0,0.0,0,0,0.0,2,0,0
YUG,1924,CRD,0,5025,131,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,TEN,0,5025,228,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,ATH,0,5025,989,6,5,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,WRG,0,5025,145,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
YUG,1924,EDR,0,5025,23,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,ATH,0,4693,981,12,7,0.0,0.09090909090909091,0.0,11,0,0.0,0,0,0
ARG,1928,SWM,0,4693,274,8,4,0.0,0.0,0.0,0,0,0.0,1,0,0
ARG,1928,FEN,0,4693,421,9,3,0.0,0.0,0.0,0,0,0.0,0,0,5
ARG,1928,EJP,0,4693,89,6,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,BOX,0,4693,126,7,7,0.0,0.2857142857142857,0.2857142857142857,6,6,0.0,2,2,0
ARG,1928,WRG,0,4693,107,5,5,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,FBL,0,4693,194,14,1,0.0,0.0,0.0,0,0,0.0,0,16,0
ARG,1928,WPO,0,4693,106,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,ROW,0,4693,231,7,1,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,CRD,0,4693,129,8,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,WLF,0,4693,93,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,CTR,0,4693,94,2,2,0.0,0.0,0.0,0,0,0.0,0,0,0
ARG,1928,VBV,0,4693,18,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUS,1928,SWM,0,4693,274,8,7,0.10714285714285714,0.4642857142857143,0.17857142857142858,22,10,0.0,0,2,0
AUS,1928,WRF,0,4693,62,3,3,0.0,0.0,0.0,0,0,0.0,0,0,0
AUS,1928,ATH,0,4693,981,13,11,0.12903225806451613,0.03225806451612903,0.16129032258064516,19,0,4.0,0,0,0
AUS,1928,CTR,0,4693,94,2,2,0.0,0.0,0.0,0,0,0.0,0,0,1
AUS,1928,DIV,0,4693,74,2,2,0.3333333333333333,0.0,0.0,2,0,0.0,0,0,0
AUS,1928,ROW,0,4693,231,1,1,0.0,0.0,0.0,0,0,0.0,1,0,0
AUT,1928,WLF,0,4693,93,10,5,0.08333333333333333,0.3333333333333333,0.08333333333333333,11,11,0.0,2,0,0
AUT,1928,0,0,4693,648,40,8,0.0,0.0,0.0,0,0,0.0,1,0,0
AUT,1928,FEN,0,4693,421,8,2,0.0,0.1891891891891892,0.08108108108108109,0,0,0.0,0,0,0
AUT,1928,HOC,0,4693,126,16,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1928,SWM,0,4693,274,3,3,0.0625,0.125,0.25,0,0,0.0,0,0,0
AUT,1928,DIV,0,4693,74,3,3,0.0,0.0,0.2,0,0,0.0,0,0,0
AUT,1928,CTR,0,4693,94,4,3,0.07692307692307693,0.0,0.15384615384615385,0,0,0.0,0,0,0
AUT,1928,ROW,0,4693,231,2,1,0.0,0.0,0.0,0,0,0.0,0,0,2
AUT,1928,BOX,0,4693,126,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1928,ATH,0,4693,981,7,7,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1928,EDR,0,4693,53,6,2,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1928,SAL,0,4693,86,1,1,0.0,0.0,0.0,0,0,0.0,0,0,0
AUT,1928,WRG,0,4693,107,2,2,0.043478260869565216,0.08695652173913043,0.043478260869565216,0,0,0.0,0,0,0
USA,1928,SAL,0,4693,86,8,3,0.0,0.0,1.0,0,0,0.0,0,0,0
ITA,1928,SAL,0,4693,86,6,3,0.0,0.0,0.0,0,0,0.0,0,0,0
BEL,1928,FEN,0,4693,421,29,7,0.10101010101010101,0.1919191919191919,0.13131313131313133,53,21,0.0,0,0,0
BEL,1928,HOC,0,4693,126,18,1,0.0,0.0,1.0,14,0,0.0,0,0,0
BEL,1928,WLF,0,4693,93,8,5,0.0625,0.0625,0.0625,6,0,0.0,0,0,0
BEL,1928,CRD,0,4693,129,8,2,0.0,0.3333333333333333,0.26666666666666666,13,6,0.0,0,0,0
BEL,1928,CTR,0,4693,94,6,3,0.027777777777777776,0.0,0.16666666666666666,22,6,0.0,0,0,0
BEL,1928,BOX,0,4693,126,5,5,0.05263157894736842,0.0,0.05263157894736842,8,8,0.0,0,0,1
BEL,1928,ROW,0,4693,231,22,6,0.0,0.44680851063829785,0.0,0,0,0.0,0,0,3
BEL,1928,WRG,0,4693,107,6,6,0.0,0.0,0.041666666666666664,0,0,0.0,0,0,0
BEL,1928,WPO,0,4693,106,10,1,0.0,0.9,0.225,19,11,0.0,0,0,0
